rank,tier,gutenberg,title,author,year,form,text_source,downloads_30d,sitelinks,wikipedia,genre,status,slug
124,A,204,The Innocence of Father Brown,G. K. Chesterton,1911,short story collection,gutenberg,,,,,,
125,A,1695,The Man Who Was Thursday,G. K. Chesterton,1908,novel,gutenberg,59096,19,yes,thriller,have,g1695
126,A,2383,The Canterbury Tales,Geoffrey Chaucer,1400,poem,gutenberg,23168,71,yes,English-language literature,new,g2383
127,A,507,Adam Bede,George Eliot,1859,novel,gutenberg,,,,,,
128,A,550,Silas Marner,George Eliot,1861,novel,gutenberg,3410,22,yes,novel of manners,new,g550
129,A,5230,The Invisible Man,H. G. Wells,1897,novel,gutenberg,,,,,,
130,A,159,The Island of Doctor Moreau,H. G. Wells,1896,novel,gutenberg,,,,,,
131,A,68283,The Call of Cthulhu,H. P. Lovecraft,1928,short story,gutenberg,52038,34,yes,science fiction;weird fiction;horror fiction,new,g68283
132,A,2166,King Solomon's Mines,H. Rider Haggard,1885,novel,gutenberg,3424,,no,,have,g2166
133,A,2542,A Doll's House,Henrik Ibsen,1879,play,gutenberg,,,,,,
134,A,205,Walden,Henry David Thoreau,1854,nonfiction,gutenberg,24578,,no,,have,b26
135,A,6593,"The History of Tom Jones, a Foundling",Henry Fielding,1749,novel,gutenberg,,,,,,
136,A,2834,The Portrait of a Lady,Henry James,1881,novel,gutenberg,1450,27,yes,,new,g2834
137,A,209,The Turn of the Screw,Henry James,1898,novella,gutenberg,54814,27,yes,fantasy;ghost story;horror fiction;Gothic fiction,have,g209
138,A,11231,"Bartleby, the Scrivener",Herman Melville,1853,short story,gutenberg,6200,23,yes,social criticism,new,g11231
139,A,2500,Siddhartha,Hermann Hesse,1922,novel,gutenberg,9381,60,yes,developmental novel;philosophical novel,new,g2500
140,A,,Steppenwolf,Hermann Hesse,1929,novel,us_pd,,,,,,
141,A,1237,Père Goriot,Honoré de Balzac,1835,novel,gutenberg,2421,60,yes,historical fiction,new,g1237
142,A,964,The Merry Adventures of Robin Hood,Howard Pyle,1883,novel,gutenberg,1722,,no,,have,g964
143,A,1074,The Sea-Wolf,Jack London,1904,novel,gutenberg,2597,27,yes,adventure fiction,have,g1074
144,A,910,White Fang,Jack London,1906,novel,gutenberg,12571,48,yes,adventure fiction;young adult fiction,have,g910
145,A,940,The Last of the Mohicans,James Fenimore Cooper,1826,novel,gutenberg,9647,52,yes,historical fiction,have,g940
146,A,4217,A Portrait of the Artist as a Young Man,James Joyce,1916,novel,gutenberg,8579,46,yes,Bildungsroman;Künstlerroman;autobiographical novel,new,g4217
147,A,2814,Dubliners,James Joyce,1914,short story collection,gutenberg,12784,45,yes,,new,g2814
