rank,gutenberg,title,author,downloads_30d,pick_score,locc,shelves,pg_issued,language,source,coffees,slug
83,46,A Christmas Carol,Charles Dickens,21933,9,PR,Children's Literature; Christmas; Category: Novels; Category: Classics of Literature; Category: British Literature,2004-08-11,en,hand-picked,1,b14
84,73,The Red Badge of Courage: An Episode of the American Civil War,Stephen Crane,20712,15,PS,"US Civil War; Historical Fiction; Best Books Ever Listings; Bestsellers, American, 1895-1923; Category: Novels; Category: Classics of Literature; Category: American Literature; Category: History - American; Category: History - Warfare",1993-07-01,en,auto-scored,1,g73
85,696,The Castle of Otranto,Horace Walpole,20422,11,PR,Gothic Fiction; Category: Novels; Category: Classics of Literature; Category: British Literature,1996-10-01,en,auto-scored,1,g696
86,35,The Time Machine,H. G. Wells,19811,9,PR,Science Fiction; Movie Books; Category: Science-Fiction & Fantasy; Category: Novels; Category: British Literature,2004-10-02,en,hand-picked,1,b18
87,1399,Anna Karenina,Leo Tolstoy,19677,9,PG,Best Books Ever Listings; Harvard Classics; Movie Books; Category: Novels; Category: Classics of Literature; Category: Russian Literature,1998-07-01,en,hand-picked,1,b32
88,135,Les Misérables,Victor Hugo,19395,9,PQ,Historical Fiction; Banned Books from Anne Haight's list; Category: Historical Novels; Category: Novels; Category: Classics of Literature; Category: French Literature,2008-06-22,en,hand-picked,1,b34
89,2040,Confessions of an English Opium-Eater,Thomas De Quincey,19258,11,PR,Gothic Fiction; Category: Biographies; Category: British Literature; Category: Drugs/Alcohol/Pharmacology,2000-01-01,en,auto-scored,1,g2040
90,215,The Call of the Wild,Jack London,18718,11,PS,Animals-Domestic; Adventure; Best Books Ever Listings; Movie Books; Banned Books from Anne Haight's list; Banned Books List from the American Library Association; Category: Adventure; Category: Novels; Category: Classics of Literature; Category: American Literature,2008-07-02,en,hand-picked,1,b20
91,158,Emma,Jane Austen,18556,9,PR,Category: Novels; Category: British Literature,1994-08-01,en,hand-picked,2,b48
92,2489,"Moby Dick; Or, The Whale",Herman Melville,17477,11,PS,Best Books Ever Listings; Category: Adventure; Category: Novels; Category: Classics of Literature; Category: American Literature,2001-01-01,en,auto-scored,1,g2489
93,514,Little Women,Louisa May Alcott,17140,9,PS,Children's Literature; Category: Novels; Category: Classics of Literature; Category: American Literature,1996-05-01,en,hand-picked,1,b38
94,3526,Five Weeks in a Balloon,Jules Verne,17036,11,PQ,Adventure; Movie Books; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: Classics of Literature; Category: French Literature,2002-11-01,en,auto-scored,1,g3526
95,219,Heart of Darkness,Joseph Conrad,16334,9,PR,Best Books Ever Listings; Movie Books; Category: Novels; Category: Classics of Literature; Category: British Literature,2006-01-09,en,hand-picked,2,b19
96,829,Gulliver's Travels,Jonathan Swift,15893,11,PR,Best Books Ever Listings; Banned Books from Anne Haight's list; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: Classics of Literature; Category: British Literature,1997-02-01,en,hand-picked,2,b41
