rank,status,gutenberg,title,author,year,downloads_30d,sitelinks,form,genre,wikipedia,slug
554,new,678,The Cricket on the Hearth,Charles Dickens,1845,994,16,novella,,yes,g678
555,have,378,The White Knight: Tirant Lo Blanc,Joanot Martorell,1490,992,33,,chivalric romance;chivalric novel,yes,g378
556,new,11696,The Food of the Gods and How It Came to Earth,H. G. Wells,1904,992,16,novel,science fiction;romantic fiction,yes,g11696
557,have,419,The Magic of Oz,L. Frank Baum,1919,991,5,novel,fantasy,yes,g419
558,new,285,The Lost Continent: The Story of Atlantis,C. J. Cutcliffe Hyne,1900,990,1,novel,fantasy,yes,g285
559,new,2604,The Longest Journey (novel),E. M. Forster,1907,989,3,novel,,yes,g2604
560,new,1190,The Jolly Corner,Henry James,1908,988,4,short story,horror fiction,yes,g1190
561,new,3179,The American Claimant,Mark Twain,1892,986,5,novel,fantasy;alternate history;satirical fiction,yes,g3179
562,have,6066,King--of the Khyber Rifles: A Romance of Adventure,Talbot Mundy,1916,980,1,novel,adventure fiction,yes,g6066
563,new,718,Tono-Bungay,H. G. Wells,1909,979,12,novel,science fiction,yes,g718
564,new,59239,The Flying Inn,G. K. Chesterton,1914,978,6,novel,science fiction;political fiction;speculative fiction,yes,g59239
565,new,4770,Work: A Story of Experience,Louisa May Alcott,1873,977,2,novel,autobiography,yes,g4770
566,have,1848,Montezuma's Daughter,H. Rider Haggard,1893,976,11,novel,historical fiction;adventure fiction,yes,g1848
567,have,420,Dorothy and the Wizard in Oz,L. Frank Baum,1908,975,13,novel,fantasy,yes,g420
568,new,7166,The Home and the World,Rabindranath Tagore,1916,974,8,novel,,yes,g7166
569,new,5174,The Holy Flower,H. Rider Haggard,1915,974,6,novel,fantasy,yes,g5174
570,have,605,Pellucidar,Edgar Rice Burroughs,1915,971,5,novel,science fiction;fantasy;adventure fiction,yes,g605
571,have,2186,"""Captains Courageous"": A Story of the Grand Banks",Rudyard Kipling,1897,970,10,novel,,yes,g2186
572,new,2158,The Prime Minister (novel),Anthony Trollope,1875,970,3,novel,,yes,g2158
573,new,46709,Memoirs of Joseph Grimaldi,Charles Dickens,1838,969,1,novel,autobiography,yes,g46709
574,new,24650,The Gentle Art of Making Enemies,,1890,968,3,,,yes,g24650
575,have,4045,Omoo: Adventures in the South Seas,Herman Melville,,968,,,,no,g4045
576,have,486,Ozma of Oz,L. Frank Baum,1907,966,18,novel,fantasy;children's fiction,yes,g486
577,new,381,Memories and Portraits,Robert Louis Stevenson,1887,966,1,essay collection,,yes,g381
578,have,22537,Mr. Dooley in Peace and in War,Finley Peter Dunne,,966,,,,no,g22537
579,new,62254,Fabiola (novel),Nicholas Patrick Stephen Wiseman,1854,965,12,novel,,yes,g62254
580,have,2020,Tarzan the Terrible,Edgar Rice Burroughs,,961,,,,no,g2020
581,new,778,Five Children and It,Edith Nesbit,1902,960,15,novel,fantasy;children's fiction,yes,g778
582,have,7079,The Companions of Jehu,Alexandre Dumas,,957,,,,no,g7079
583,new,3629,The Titan (novel),Theodore Dreiser,1914,956,5,novel,,yes,g3629
584,new,1267,Kai Lung's Golden Hours,Ernest Bramah,1922,952,1,novel,fantasy,yes,g1267
585,new,23000,Orley Farm (novel),Anthony Trollope,1862,951,4,novel,,yes,g23000
586,new,2721,Eric Brighteyes,H. Rider Haggard,1890,949,4,novel,fantasy,yes,g2721
587,have,2761,"Benita, an African romance",H. Rider Haggard,,949,,,,no,g2761
588,new,8183,Time and the Gods,"Edward Plunkett, 18th Baron of Dunsany",1906,948,2,short story collection,fantasy,yes,g8183
589,new,9504,Micah Clarke,Arthur Conan Doyle,1888,947,9,novel,historical fiction,yes,g9504
590,new,16457,Around the Moon,Jules Verne,1870,945,37,novel,science fiction,yes,g16457
591,new,31873,Heinrich von Ofterdingen,Novalis,1802,944,13,novel,,yes,g31873
592,new,7118,What Maisie Knew,Henry James,1897,944,11,novel,,yes,g7118
593,new,2511,The History of Henry Esmond,William Makepeace Thackeray,1852,944,4,novel,historical fiction;autobiographical fiction,yes,g2511
594,new,2305,The Duel (short story),Joseph Conrad,1908,941,7,short story,,yes,g2305
595,have,133,The Damnation of Theron Ware,Harold Frederic,,941,,,,no,g133
596,new,8677,Behind a Mask,Louisa May Alcott,1866,939,4,novel,,yes,g8677
597,new,14257,The Magician (Maugham novel),William Somerset Maugham,1908,938,4,novel,fantasy,yes,g14257
598,have,2785,The Elusive Pimpernel,Baroness Emmuska Orczy Orczy,,937,,,,no,g2785
599,new,1749,Cousin Bette,Honoré de Balzac,1846,935,18,novel,realist novel,yes,g1749
600,new,1626,After Dark (short story collection),Wilkie Collins,1856,932,2,,mystery fiction,yes,g1626
