rank,status,gutenberg,title,author,year,downloads_30d,sitelinks,form,genre,wikipedia,slug
109,have,45,Anne of Green Gables,Lucy Maud Montgomery,1908,27049,,,,no,b22
110,have,7326,The Yeoman Adventurer,George W. Gough,,27016,,,,no,g7326
111,have,1400,Great Expectations,Charles Dickens,1861,26966,69,novel,black comedy;Bildungsroman,yes,b10
112,have,120,Treasure Island,Robert Louis Stevenson,1883,26070,85,novel,coming-of-age fiction;nautical fiction;adventure fiction;pirate fiction,yes,b16
113,new,14838,The Tale of Peter Rabbit,Beatrix Potter,1902,25657,31,,children's literature,yes,g14838
114,have,844,The Importance of Being Earnest,Oscar Wilde,1895,25392,,,,no,b47
115,new,160,The Awakening (Chopin novel),Kate Chopin,1899,25199,16,novel;novella,,yes,g160
116,have,205,Walden,Henry David Thoreau,1854,24578,,,,no,b26
117,have,23784,The History of Sir Richard Calmady: A Romance,Lucas Malet,,24311,,,,no,g23784
118,new,1837,The Prince and the Pauper,Mark Twain,1881,24154,43,novel,historical fiction;cloak and dagger novel;children's fiction,yes,g1837
119,new,86,A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,23834,31,novel,science fiction;fantasy;alternate history;humorous literature;satirical fiction,yes,g86
120,have,16,Peter Pan,J. M. Barrie,1911,23507,34,novel,fantasy,yes,b24
121,new,2383,The Canterbury Tales,Geoffrey Chaucer,1387,23168,71,short story collection;poem;collection of fairy tales,English-language literature,yes,g2383
122,have,121,Northanger Abbey,Jane Austen,1818,23143,36,novel,romantic fiction,yes,g121
123,new,271,Black Beauty,Anna Sewell,1877,23114,36,novel,young adult fiction,yes,g271
124,have,46,A Christmas Carol,Charles Dickens,1843,21933,75,novella,Christmas fiction,yes,b14
125,new,2610,The Hunchback of Notre-Dame,Q535,1831,21845,76,novel,Romanticism;historical fiction;Gothic fiction,yes,g2610
126,new,599,Vanity Fair (novel),William Makepeace Thackeray,1848,21168,43,novel,satirical fiction,yes,g599
127,new,580,The Pickwick Papers,Charles Dickens,1836,21049,40,novel,picaresque novel;satire,yes,g580
128,have,73,The Red Badge of Courage: An Episode of the American Civil War,Stephen Crane,,20712,,,,no,g73
129,new,1079,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,1759,20499,34,novel,picaresque novel;metafiction;satirical fiction,yes,g1079
130,have,696,The Castle of Otranto,Horace Walpole,1764,20422,33,,horror fiction;Gothic fiction,yes,g696
131,new,967,Nicholas Nickleby,Charles Dickens,1839,20227,31,novel,social criticism,yes,g967
132,have,35,The Time Machine,H. G. Wells,1895,19811,,,,no,b18
133,have,1399,Anna Karenina,Leo Tolstoy,1877,19677,,,,no,b32
134,have,135,Les Misérables,Victor Hugo,1862,19395,97,novel,tragedy;historical fiction,yes,b34
135,have,2040,Confessions of an English Opium-Eater,Thomas De Quincey,1822,19258,13,,autobiography,yes,g2040
136,have,215,The Call of the Wild,Jack London,1903,18718,54,novel,adventure fiction,yes,b20
137,have,158,Emma,Jane Austen,1815,18556,49,novel,romantic fiction,yes,b48
138,new,4599,The Small House at Allington,Anthony Trollope,1862,17765,2,novel,,yes,g4599
139,new,38703,The Black Moth,Georgette Heyer,1921,17597,4,novel,historical fiction;romantic fiction,yes,g38703
140,have,2489,"Moby Dick; Or, The Whale",Herman Melville,,17477,,,,no,g2489
141,new,1023,Bleak House,Charles Dickens,1853,17475,38,novel,detective fiction,yes,g1023
142,new,34181,Irene Iddesleigh,Amanda McKittrick Ros,1897,17175,1,novel,,yes,g34181
143,have,514,Little Women,Louisa May Alcott,1868,17140,52,novel,autobiography;Bildungsroman;family saga;realist novel;developmental novel,yes,b38
144,new,7895,A Terrible Temptation,Charles Reade,1871,17054,3,novel,,yes,g7895
145,have,3526,Five Weeks in a Balloon,Jules Verne,,17036,,,,no,g3526
146,new,1680,La Maison du chat-qui-pelote,Honoré de Balzac,1829,16967,15,novella,literary realism,yes,g1680
147,have,219,Heart of Darkness,Joseph Conrad,1899,16334,,,,no,b19
148,have,829,Gulliver's Travels,Jonathan Swift,1726,15893,,,,no,b41
149,have,236,The Jungle Book,Rudyard Kipling,1894,15872,69,short story collection;narration,didactic literature,yes,b40
150,have,164,Twenty Thousand Leagues under the Seas,Jules Verne,1870,15599,,,,no,b36
151,have,996,Don Quixote,Miguel de Cervantes,1605,15451,,,,no,b43
152,new,730,Oliver Twist,Charles Dickens,1838,15405,83,novel,Bildungsroman,yes,g730
153,new,67098,The House at Pooh Corner,A. A. Milne,1928,14639,13,novella,children's fiction,yes,g67098
154,have,521,Robinson Crusoe,Daniel Defoe,1719,14621,,,,no,b42
155,have,36,The War of the Worlds,H. G. Wells,1898,14318,,,,no,b17
